"filename", "language", "JavaScript", "PostCSS", "XML", "Markdown", "vue", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\HashtagInformation.vue", "vue", 0, 0, 0, 0, 83, 0, 0, 0, 65, 148
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\HashtagsTable.vue", "vue", 0, 0, 0, 0, 76, 0, 0, 0, 66, 142
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\molecules\Tabs.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 0, 36, 73
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\organisms\Hashtags.vue", "vue", 0, 0, 0, 0, 53, 0, 0, 0, 36, 89
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\hashtagspage\templates\HashtagsPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\atoms\ImportIcon.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\atoms\SearchBar.vue", "vue", 0, 0, 0, 0, 9, 0, 0, 0, 8, 17
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\header\molecules\Header.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 0, 23, 49
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\languagetoggle\LanguageToggle.vue", "vue", 0, 0, 0, 0, 34, 0, 0, 0, 29, 63
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\atoms\FormInput.vue", "vue", 0, 0, 0, 0, 29, 0, 0, 0, 20, 49
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\atoms\InstructorPage.vue", "vue", 0, 0, 0, 0, 8, 0, 0, 0, 7, 15
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\molecules\LoginField.vue", "vue", 0, 0, 0, 0, 89, 0, 0, 0, 71, 160
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\login\templates\LoginPage.vue", "vue", 0, 0, 0, 0, 10, 0, 0, 0, 8, 18
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\Dropdown.vue", "vue", 0, 0, 0, 0, 58, 0, 0, 0, 20, 78
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\EmptyTab.vue", "vue", 0, 0, 0, 0, 11, 0, 0, 0, 10, 21
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\FormButtons.vue", "vue", 0, 0, 0, 0, 25, 0, 0, 0, 15, 40
"c:\Users\aaliy\OneDrive\Desktop\Javascript\Vue Projects\tennis-food-main\src\components\playerspage\atoms\ImageSubmitButton.vue", "vue", 0, 0, 0, 0, 61, 0, 0, 0, 52, 113
